Team,PPG,PAPG(Points allowed per game,Yards allowed per play,Opponent Third Down Conversion % ,Result
Ohio State,34.9,10,3.94,47,
Miami ,32.2,19,4.5,55,
Oregon,39.3,25,4.36,66,
Texas Tech,42.5,17,3.96,60,
Alabama,31.4,30,4.82,66,
Indiana,41.9,13,4.57,48,
Ole Miss,37.5,30,5.27,63,
Georgia ,31.9,24,4.78,60,
,,,,,
,,,,,
,,,,,
Sourse 1:   https://www.ncaa.com/stats/football/fbs/current/team/22,,,,,
Source 2: https://www.ncaa.com/stats/football/fbs/current/team/701,,,,,
source 3: https://www.espn.com/college-football/team/stats/_/type/team/id/333,,,,,
